TID,VAR,TRP,VAL,TRF,GRD
DC162712242,TC,RG,0,RS,
DC162712242,TC,RM,0,RS,
DC162712242,TC,RS,0,RS,
DC163510851,TC,R,0,R,0.0
DC163510851,TC,RG,0,R,
DC163510851,TC,RM,0,R,
DC163510851,TC,RS,0,R,
DC163510852,TC,R,1,RS,
DC163510852,TC,RG,1,RS,
DC163510852,TC,RM,1,RS,
DC163510852,TC,RS,1,RS,0.0
DC163510853,TC,R,0,RS,
DC163510853,TC,RG,0,RS,
DC163510853,TC,RM,0,RS,
DC163510853,TC,RS,0,RS,1.0
DC163510854,TC,R,0,RS,
DC163510854,TC,RG,0,RS,
DC163510854,TC,RM,0,RS,
DC163510854,TC,RS,0,RS,
DC164314301,TC,R,0,R,1.0
DC164314301,TC,RG,0,R,
DC164314301,TC,RM,0,R,
DC164314301,TC,RS,0,R,
DC164314302,TC,R,1,R,0.0
DC164314302,TC,RG,1,R,
DC164314302,TC,RM,1,R,
DC164314302,TC,RS,1,R,
DC164314303,TC,R,0,R,1.0
DC164314303,TC,RG,0,R,
DC164314303,TC,RM,0,R,
DC164314303,TC,RS,0,R,
DC164314304,TC,R,1,R,
DC164314304,TC,RG,1,R,
DC164314304,TC,RM,1,R,
DC164314304,TC,RS,1,R,
DC172012831,TC,R,0,RM,
DC172012831,TC,RG,0,RM,
DC172012831,TC,RM,0,RM,1.0
DC172012831,TC,RS,0,RM,
DC172012832,TC,R,1,RM,
DC172012832,TC,RG,1,RM,
DC172012832,TC,RM,1,RM,1.0
DC172012832,TC,RS,1,RM,
DC172012833,TC,R,1,RM,
DC172012833,TC,RG,1,RM,
DC172012833,TC,RM,1,RM,0.0
DC172012833,TC,RS,1,RM,
DC172012834,TC,R,1,RM,
DC172012834,TC,RG,1,RM,
DC172012834,TC,RM,1,RM,0.0
DC172012834,TC,RS,1,RM,
DC172012835,TC,R,1,RM,
DC172012835,TC,RG,1,RM,
DC172012835,TC,RM,1,RM,
DC172012835,TC,RS,1,RM,
DC174714521,TC,R,0,R,0.0
DC174714521,TC,RG,0,R,
DC174714521,TC,RM,0,R,
DC174714521,TC,RS,0,R,
DC174714522,TC,R,0,R,1.0
DC174714522,TC,RG,0,R,
DC174714522,TC,RM,0,R,
DC174714522,TC,RS,0,R,
DC174714523,TC,R,0,R,1.0
DC174714523,TC,RG,0,R,
DC174714523,TC,RM,0,R,
DC174714523,TC,RS,0,R,
DC174714524,TC,R,1,R,
DC174714524,TC,RG,1,R,
DC174714524,TC,RM,1,R,
DC174714524,TC,RS,1,R,
DC176013511,TC,R,0,R,1.0
DC176013511,TC,RG,0,R,
DC176013511,TC,RM,0,R,
DC176013511,TC,RS,0,R,
DC176013512,TC,R,1,R,0.0
DC176013512,TC,RG,1,R,
DC176013512,TC,RM,1,R,
DC176013512,TC,RS,1,R,
DC176013513,TC,R,1,R,0.0
DC176013513,TC,RG,1,R,
DC176013513,TC,RM,1,R,
DC176013513,TC,RS,1,R,
DC176013514,TC,R,0,R,
DC176013514,TC,RG,0,R,
DC176013514,TC,RM,0,R,
DC176013514,TC,RS,0,R,
DC178312901,TC,R,0,R,1.0
DC178312901,TC,RG,0,R,
DC178312901,TC,RM,0,R,
DC178312901,TC,RS,0,R,
DC178312902,TC,R,1,R,0.0
DC178312902,TC,RG,1,R,
DC178312902,TC,RM,1,R,
DC178312902,TC,RS,1,R,
DC178312903,TC,R,0,R,1.0
DC178312903,TC,RG,0,R,
DC178312903,TC,RM,0,R,
DC178312903,TC,RS,0,R,
DC178312904,TC,R,0,R,
DC178312904,TC,RG,0,R,
DC178312904,TC,RM,0,R,
DC178312904,TC,RS,0,R,
DC180414661,TC,R,0,R,1.0
DC180414661,TC,RG,0,R,
DC180414661,TC,RM,0,R,
DC180414661,TC,RS,0,R,
DC180414662,TC,R,1,R,0.0
